Date : 2023-11-15 21:42:20
Directory : /Users/mheinke/Desktop/so_long
Total : 119 files,  9285 codes, 2300 comments, 1145 blanks, all 12730 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
+-------------+------------+------------+------------+------------+------------+
| C           |         99 |      7,509 |      1,873 |        639 |     10,021 |
| Objective-C |          5 |        915 |         97 |        258 |      1,270 |
| C++         |         10 |        495 |        253 |        173 |        921 |
| Makefile    |          4 |        365 |         77 |         75 |        517 |
| Markdown    |          1 |          1 |          0 |          0 |          1 |
+-------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                    | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                       |        119 |      9,285 |      2,300 |      1,145 |     12,730 |
| . (Files)                                                               |          2 |        113 |         25 |         25 |        163 |
| MapGenerator                                                            |         10 |        392 |        125 |         72 |        589 |
| includes                                                                |          3 |        232 |         93 |         81 |        406 |
| libft                                                                   |         55 |      1,271 |      1,356 |        283 |      2,910 |
| libft (Files)                                                           |          1 |        167 |         29 |         25 |        221 |
| libft/includes                                                          |          1 |         80 |         32 |         17 |        129 |
| libft/srcs                                                              |         53 |      1,024 |      1,295 |        241 |      2,560 |
| libft/srcs/check                                                        |          6 |         36 |        143 |         18 |        197 |
| libft/srcs/gnl                                                          |          2 |        164 |         22 |         22 |        208 |
| libft/srcs/list                                                         |          9 |        110 |        480 |         40 |        630 |
| libft/srcs/memory                                                       |          7 |         81 |        331 |         32 |        444 |
| libft/srcs/printf                                                       |          7 |        174 |         77 |         35 |        286 |
| libft/srcs/string                                                       |         22 |        459 |        242 |         94 |        795 |
| mlx-macos                                                               |         17 |      6,289 |        283 |        484 |      7,056 |
| sources                                                                 |         32 |        988 |        418 |        200 |      1,606 |
| sources (Files)                                                         |          1 |         62 |         18 |          8 |         88 |
| sources/cleanup                                                         |          6 |        116 |         66 |         27 |        209 |
| sources/init                                                            |          9 |        307 |         99 |         63 |        469 |
| sources/loadingscreen                                                   |          1 |         22 |         11 |          6 |         39 |
| sources/menu                                                            |          5 |        276 |         55 |         36 |        367 |
| sources/player                                                          |          1 |         13 |         11 |          3 |         27 |
| sources/user_input                                                      |          3 |         55 |         33 |         11 |         99 |
| sources/utils                                                           |          6 |        137 |        125 |         46 |        308 |
+-------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------+-------------+------------+------------+------------+------------+
| filename                                                                | language    | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------+-------------+------------+------------+------------+------------+
| /Users/mheinke/Desktop/so_long/Makefile                                 | Makefile    |        112 |         25 |         25 |        162 |
| /Users/mheinke/Desktop/so_long/MapGenerator/Makefile                    | Makefile    |         46 |         20 |         17 |         83 |
| /Users/mheinke/Desktop/so_long/MapGenerator/main copy.c                 | C           |          7 |         11 |          2 |         20 |
| /Users/mheinke/Desktop/so_long/MapGenerator/main.c                      | C           |         13 |         11 |          4 |         28 |
| /Users/mheinke/Desktop/so_long/MapGenerator/map_algo.c                  | C           |         26 |         11 |          4 |         41 |
| /Users/mheinke/Desktop/so_long/MapGenerator/map_file_creator.c          | C           |         38 |         11 |          6 |         55 |
| /Users/mheinke/Desktop/so_long/MapGenerator/map_generator.c             | C           |         19 |         11 |          4 |         34 |
| /Users/mheinke/Desktop/so_long/MapGenerator/map_generator.h             | C++         |         25 |         17 |          6 |         48 |
| /Users/mheinke/Desktop/so_long/MapGenerator/map_main.c                  | C           |         13 |         11 |          4 |         28 |
| /Users/mheinke/Desktop/so_long/MapGenerator/map_utils.c                 | C           |         65 |         11 |         10 |         86 |
| /Users/mheinke/Desktop/so_long/MapGenerator/test.c                      | C           |        140 |         11 |         15 |        166 |
| /Users/mheinke/Desktop/so_long/README.md                                | Markdown    |          1 |          0 |          0 |          1 |
| /Users/mheinke/Desktop/so_long/includes/music_and_sfx.h                 | C++         |          5 |         17 |          6 |         28 |
| /Users/mheinke/Desktop/so_long/includes/so_long.h                       | C++         |        172 |         50 |         55 |        277 |
| /Users/mheinke/Desktop/so_long/includes/sprites.h                       | C++         |         55 |         26 |         20 |        101 |
| /Users/mheinke/Desktop/so_long/libft/Makefile                           | Makefile    |        167 |         29 |         25 |        221 |
| /Users/mheinke/Desktop/so_long/libft/includes/libft.h                   | C++         |         80 |         32 |         17 |        129 |
| /Users/mheinke/Desktop/so_long/libft/srcs/check/ft_isalnum.c            | C           |          6 |         24 |          3 |         33 |
| /Users/mheinke/Desktop/so_long/libft/srcs/check/ft_isalpha.c            | C           |          6 |         24 |          3 |         33 |
| /Users/mheinke/Desktop/so_long/libft/srcs/check/ft_isascii.c            | C           |          6 |         24 |          3 |         33 |
| /Users/mheinke/Desktop/so_long/libft/srcs/check/ft_isdigit.c            | C           |          6 |         23 |          3 |         32 |
| /Users/mheinke/Desktop/so_long/libft/srcs/check/ft_isprint.c            | C           |          6 |         24 |          3 |         33 |
| /Users/mheinke/Desktop/so_long/libft/srcs/check/ft_isspace.c            | C           |          6 |         24 |          3 |         33 |
| /Users/mheinke/Desktop/so_long/libft/srcs/gnl/get_next_line.c           | C           |         89 |         11 |         10 |        110 |
| /Users/mheinke/Desktop/so_long/libft/srcs/gnl/get_next_line_utils.c     | C           |         75 |         11 |         12 |         98 |
| /Users/mheinke/Desktop/so_long/libft/srcs/list/ft_lstadd_back.c         | C           |         16 |         47 |          5 |         68 |
| /Users/mheinke/Desktop/so_long/libft/srcs/list/ft_lstadd_front.c        | C           |          8 |         40 |          4 |         52 |
| /Users/mheinke/Desktop/so_long/libft/srcs/list/ft_lstclear.c            | C           |         10 |         56 |          4 |         70 |
| /Users/mheinke/Desktop/so_long/libft/srcs/list/ft_lstdelone.c           | C           |          9 |         57 |          4 |         70 |
| /Users/mheinke/Desktop/so_long/libft/srcs/list/ft_lstiter.c             | C           |         11 |         53 |          4 |         68 |
| /Users/mheinke/Desktop/so_long/libft/srcs/list/ft_lstlast.c             | C           |          9 |         42 |          4 |         55 |
| /Users/mheinke/Desktop/so_long/libft/srcs/list/ft_lstmap.c              | C           |         24 |         91 |          5 |        120 |
| /Users/mheinke/Desktop/so_long/libft/srcs/list/ft_lstnew.c              | C           |         11 |         47 |          5 |         63 |
| /Users/mheinke/Desktop/so_long/libft/srcs/list/ft_lstsize.c             | C           |         12 |         47 |          5 |         64 |
| /Users/mheinke/Desktop/so_long/libft/srcs/memory/ft_bzero.c             | C           |          6 |         36 |          4 |         46 |
| /Users/mheinke/Desktop/so_long/libft/srcs/memory/ft_calloc.c            | C           |         12 |         50 |          5 |         67 |
| /Users/mheinke/Desktop/so_long/libft/srcs/memory/ft_memchr.c            | C           |         10 |         42 |          4 |         56 |
| /Users/mheinke/Desktop/so_long/libft/srcs/memory/ft_memcmp.c            | C           |         12 |         53 |          4 |         69 |
| /Users/mheinke/Desktop/so_long/libft/srcs/memory/ft_memcpy.c            | C           |         11 |         46 |          5 |         62 |
