"filename", "language", "C", "comment", "blank", "total"
"/Users/mheinke/Desktop/so_long/sources/cleanup/destroy_all_images.c", "C", 8, 11, 3, 22
"/Users/mheinke/Desktop/so_long/sources/cleanup/destroy_creditscreen.c", "C", 13, 11, 3, 27
"/Users/mheinke/Desktop/so_long/sources/cleanup/destroy_loadingscreen.c", "C", 34, 11, 6, 51
"/Users/mheinke/Desktop/so_long/sources/cleanup/destroy_map.c", "C", 11, 11, 4, 26
"/Users/mheinke/Desktop/so_long/sources/cleanup/destroy_optionscreen.c", "C", 34, 11, 6, 51
"/Users/mheinke/Desktop/so_long/sources/cleanup/destroy_player.c", "C", 5, 11, 3, 19
"/Users/mheinke/Desktop/so_long/sources/cleanup/destroy_startscreen.c", "C", 34, 11, 6, 51
"/Users/mheinke/Desktop/so_long/sources/cleanup/free_structs.c", "C", 10, 11, 3, 24
"/Users/mheinke/Desktop/so_long/sources/init/init_creditscreen.c", "C", 53, 11, 10, 74
"/Users/mheinke/Desktop/so_long/sources/init/init_game.c", "C", 30, 11, 5, 46
"/Users/mheinke/Desktop/so_long/sources/init/init_loadingscreen.c", "C", 59, 11, 9, 79
"/Users/mheinke/Desktop/so_long/sources/init/init_optionscreen.c", "C", 79, 11, 9, 99
"/Users/mheinke/Desktop/so_long/sources/init/init_optionscreen_buttons.c", "C", 36, 11, 7, 54
"/Users/mheinke/Desktop/so_long/sources/init/init_player.c", "C", 12, 11, 3, 26
"/Users/mheinke/Desktop/so_long/sources/init/init_startscreen.c", "C", 63, 11, 9, 83
"/Users/mheinke/Desktop/so_long/sources/init/init_startscreen_buttons.c", "C", 36, 11, 7, 54
"/Users/mheinke/Desktop/so_long/sources/init/init_viewport.c", "C", 5, 11, 3, 19
"/Users/mheinke/Desktop/so_long/sources/loadingscreen/loadingscreen.c", "C", 22, 11, 6, 39
"/Users/mheinke/Desktop/so_long/sources/main.c", "C", 74, 24, 15, 113
"/Users/mheinke/Desktop/so_long/sources/map/calloc_map.c", "C", 36, 11, 6, 53
"/Users/mheinke/Desktop/so_long/sources/map/check_arguments.c", "C", 16, 11, 3, 30
"/Users/mheinke/Desktop/so_long/sources/map/check_map.c", "C", 60, 11, 10, 81
"/Users/mheinke/Desktop/so_long/sources/map/debug_map.c", "C", 12, 11, 2, 25
"/Users/mheinke/Desktop/so_long/sources/map/exit_map.c", "C", 8, 11, 3, 22
"/Users/mheinke/Desktop/so_long/sources/map/read_map.c", "C", 72, 11, 12, 95
"/Users/mheinke/Desktop/so_long/sources/menu/creditscreen.c", "C", 32, 11, 6, 49
"/Users/mheinke/Desktop/so_long/sources/menu/menu_buttons.c", "C", 65, 11, 6, 82
"/Users/mheinke/Desktop/so_long/sources/menu/menu_mouse_click.c", "C", 58, 11, 6, 75
"/Users/mheinke/Desktop/so_long/sources/menu/menu_mouse_hover.c", "C", 44, 11, 6, 61
"/Users/mheinke/Desktop/so_long/sources/menu/menu_start_screen.c", "C", 8, 11, 3, 22
"/Users/mheinke/Desktop/so_long/sources/menu/optionscreen.c", "C", 59, 11, 6, 76
"/Users/mheinke/Desktop/so_long/sources/menu/startscreen.c", "C", 50, 11, 6, 67
"/Users/mheinke/Desktop/so_long/sources/player/player.c", "C", 6, 11, 2, 19
"/Users/mheinke/Desktop/so_long/sources/player/player_movement.c", "C", 13, 25, 5, 43
"/Users/mheinke/Desktop/so_long/sources/user_input/input_hooks.c", "C", 16, 11, 5, 32
"/Users/mheinke/Desktop/so_long/sources/user_input/key_input.c", "C", 29, 11, 5, 45
"/Users/mheinke/Desktop/so_long/sources/user_input/mouse_input.c", "C", 17, 11, 4, 32
"/Users/mheinke/Desktop/so_long/sources/utils/delta_time.c", "C", 29, 11, 8, 48
"/Users/mheinke/Desktop/so_long/sources/utils/error_handling.c", "C", 7, 11, 3, 21
"/Users/mheinke/Desktop/so_long/sources/utils/musicplayer.c", "C", 47, 11, 8, 66
"/Users/mheinke/Desktop/so_long/sources/utils/render.c", "C", 8, 11, 3, 22
"/Users/mheinke/Desktop/so_long/sources/utils/statemachine.c", "C", 13, 11, 5, 29
"/Users/mheinke/Desktop/so_long/sources/utils/window_changer.c", "C", 43, 11, 6, 60
"Total", "-", 1366, 500, 246, 2112
